target,url
Raiffeisen,https://admin-info-ch.click/ch/raiffeisen
Generic Email,https://dadbackcalls.vercel.app/
SwissPass,https://trentonssd.com/public/pass/
SwissPass,https://ungelesene.netsons.org/
Quire,https://shining-plain-viscount.glitch.me/#
DPD,http://www.laindustria.pe/dpdch003.html
SwissPass,https://heng.crdiinjectornozzle.com/wp-content/plugins/backup-backup/includes/
DPD,https://dpd-app.help/t#%2F
LHV,https://ic.guni.ac.in/AVdu6XLeQ/hysbvwy1j9v72xlh/login.php?
Adliran,http://gggaaa.shop/a/
#Malware,https://api.metaskins.gg/storage/n8wMGsVSAShfr64eYabJF77TU7WBXE9IuWIahWoR.exe
other,https://api.melonity.gg/storage/zexNN81PkGFLTITkFx70P8tcDSqJorPvPXK90iwO.exe
SwissPass,https://77-90-153-2.cprapid.com/ch/f/signin.php
Generic Email,https://webmail-verification-5np7.vercel.app/#nadine%40plueer.ch
Microsoft,https://w7l3d.cclaccmg.es/no9DGJ!tq84Oi0HKQ8/*beat.staub@dreyfusbank.ch
DocuSign,https://app-sign-clientarea.glitch.me/profile.html
DHL,https://oli.vi/PyJQ9D5
Generic Email,https://tun-linn15r-elwebmail-ibc2nr12b-webmail-domain-check.vercel.app/?NL2J7V8KQ=2N6HXPJ8KVYnJ5YW4uamVuQGZhbWV0ZWNoLmNvbS50dw2N6HXPJ8KV&mode=retrieval2N6HXPJ8KV
Generic Email,https://radiomaisweb.net.br/chat/class/accessed/index.php?email=yahoo@yahoo.com
Facebook,https://oauthcaptcha-meta.com
Telegram,https://cky-tg.top/dist/
Telegram,https://telepf.org/
Shaparak,https://mnkj.org/c/itsOK/payment/
Shaparak,https://foalnlop.shop/FilmS/payment/
Telegram,https://teleps.org/
Microsoft,https://device.thingstoseeonlineasda.com/
Bet365,http://m.22115bb.com/
Microsoft,https://login.lcmu.it.com/MlyoYUfg?kss=yqzrERD5O8PMAsHc6CcaefktUoRXegdtDd6fNTlYp1-acBRuCUmHzQNqnR2xghcB0kKF8oKW536yaPfZLsjT9b9k6fFr-j8tDUGz9Dm59662iCOZ0Xqcnjg
Telegram,https://wec-telegram.org/
Telegram,https://kcg-telegram.org/
Telegram,https://api.telegram.com.tw/
Shaparak,https://aisuius.markets/d/W568H/pay/
Microsoft,https://ipfs.io/ipfs/bafybeiaggevn3vxrb222rr3sieyy2gjlw4i6teo26o66vi52vtvdidqnqa/indexxxx.html
#ATTACK,http://inveiculos.com.br/zh.html
#ATTACK,http://harshintegrated.com/index.html
#ATTACK,http://mylivingspacecreation.com
#ATTACK,http://masaradahospital.com
#ATTACK,http://archisoularchitect.in
#ATTACK,http://narendradriveragent.in/index.html
Telegram,https://torkervds.top/
#ATTACK,http://sunrise-care.org
#ATTACK,http://gobblexcollege.co.uk/index.html
SwissPass,https://alpha.visual-science.xyz/jancox/
SwissPass,https://multistore-hurt.dawczak.pro/modules/simpleimportproduct/override/
Other,https://piayn0tebtvloce917773883.weebly.com/
AT&T,https://volc8eu.weebly.com/
Other,https://dbcsdhcbhsd.weebly.com/
Bet365,https://xn--qkr8l62rot9c.com/
Shaparak,https://pay.bpm.afaghhost.com/pgwchannel
Microsoft,https://proposalleftz.s3.us-east-005.backblazeb2.com/hot+ebb.html
Telegram,https://live.iflix.com.mstkkee3.dpdns.org/
Telegram,https://nettelegram.com/
ETH Zurich,https://puethch.weebly.com/
ETH Zurich,https://intethch.weebly.com/
PostFinance,https://postfinancech.heka-karya.com/
BT,https://broadband-949-btconnect-9494.webflow.io/
Microsoft,https://btsigninbill.weebly.com/
Other,https://gajjkhc.weebly.com/
Telegram,http://botmit.top/
Telegram,https://zelo-store.com/F-2/XZ?nox=7236312335
IR-GOV,http://resdt.store
Rubika,https://moonmember.ir/IRANPANEL/
CSS,https://id-css-ch.jdevcloud.com/tmp/myCSS/login.html
SwissPost,https://w3tnx.xin/nD3G5J/#/
SCDMV,http://goi-voap.icu
TxDMV,http://gov-fjwqa.vip
WV DMV,http://gov-gdf.icu
WV DMV,http://gov-rww.icu
WV DMV,http://gov-gfg.icu
TxDMV,http://gov-gmwqa.vip
TxDMV,http://gov-gwkkq.vip
TxDMV,http://gov-hfwqa.vip
TxDMV,http://gov-nooaq.icu
TxDMV,http://gov-nooij.icu
TxDMV,http://gov-nooio.icu
TxDMV,http://gov-nooiq.icu
TxDMV,http://gov-noojo.icu
TxDMV,http://gov-nooka.icu
TxDMV,http://gov-nooko.icu
TxDMV,http://gov-noola.icu
TxDMV,http://gov-noolb.icu
TxDMV,http://gov-noole.icu
TxDMV,http://gov-noolk.icu
TxDMV,http://gov-nooli.icu
TxDMV,http://gov-nooln.icu
TxDMV,http://gov-noolo.icu
TxDMV,http://gov-noolc.icu
TxDMV,http://gov-noolr.icu
TxDMV,http://gov-nools.icu
TxDMV,http://gov-noolm.icu
TxDMV,http://gov-noolt.icu
TxDMV,http://gov-noolu.icu
TxDMV,http://gov-noolv.icu
TxDMV,http://gov-nooma.icu
TxDMV,http://gov-noomi.icu
TxDMV,http://gov-noolx.icu
TxDMV,http://gov-noomo.icu
TxDMV,http://gov-noona.icu
TxDMV,http://gov-noono.icu
TxDMV,http://gov-noonq.icu
TxDMV,http://gov-noonz.icu
TxDMV,http://gov-nooql.icu
TxDMV,http://gov-nooxa.icu
TxDMV,http://gov-nooxq.icu
TxDMV,http://gov-nooyt.icu
TxDMV,http://gov-nooza.icu
NDOT,http://dot-nv-gov.bid
NDOT,http://dot-nv-gov.life
NDOT,http://dot-nv-gov.men
NDOT,http://dot-nv-gov.run
NDOT,http://dot-nv-gov.top
PTT,http://ppt-gov.top
Ohio DPS,http://gov-tollbillrsg.bid
Ohio DPS,http://gov-tollbillrsf.bid
Ohio DPS,http://gov-tollbillrsh.bid
Ohio DPS,http://gov-tollbillrsi.bid
Maryland MVA,http://gov-tollbillrse.bid
Ohio DPS,http://gov-tollbillrsb.bid
Ohio DPS,http://gov-tollbillrsj.bid
Ohio DPS,http://gov-tollbillrsk.bid
Ohio DPS,http://gov-tollbillrsl.bid
Ohio DPS,http://gov-tollbillrsm.bid
Ohio DPS,http://gov-tollbillrsn.bid
Ohio DPS,http://gov-tollbillrsp.bid
Ohio DPS,http://gov-tollbillrsq.bid
Ohio DPS,http://gov-tollbillrsr.bid
Ohio DPS,http://gov-tollbillrss.bid
Ohio DPS,http://gov-tollbillrsu.bid
Ohio DPS,http://gov-tollbillrsx.bid
Ohio DPS,http://gov-tollbillrst.bid
Ohio DPS,http://gov-tollbillrsy.bid
Ohio DPS,http://gov-tollbillrsw.bid
Ohio DPS,http://gov-tollbillrsz.bid
Ohio DPS,http://gov-tollbillrxc.bid
Ohio DPS,http://gov-tollbillrxe.bid
Ohio DPS,http://gov-tollbillrxb.bid
Ohio DPS,http://gov-tollbillrxq.bid
Ohio DPS,http://gov-tollbillrxn.bid
Ohio DPS,http://gov-tollbillrxr.bid
Ohio DPS,http://gov-tollbillrxw.bid
Ohio DPS,http://gov-tollbillrxt.bid
Ohio DPS,http://gov-tollbillta.cyou
Ohio DPS,http://gov-tollbilltc.cyou
Ohio DPS,http://gov-tollbillrxv.bid
Ohio DPS,http://gov-tollbillrxz.bid
Ohio DPS,http://gov-tollbillte.cyou
Ohio DPS,http://gov-tollbilltg.cyou
Ohio DPS,http://gov-tollbillti.cyou
Ohio DPS,http://gov-tollbilltk.cyou
Ohio DPS,http://gov-tollbilltl.cyou
Ohio DPS,http://gov-tollbillto.cyou
Ohio DPS,http://gov-tollbilltr.cyou
Ohio DPS,http://gov-tollbilltu.cyou
Ohio DPS,http://gov-tollbilltx.cyou
Ohio DPS,http://gov-tollbilltz.cyou
Ohio DPS,http://gov-tollei.cyou
Ohio DPS,http://gov-tollia.cyou
Ohio DPS,http://gov-tollie.cyou
Ohio DPS,http://gov-tollir.cyou
Ohio DPS,http://gov-tollix.cyou
Ohio DPS,http://gov-tollki.cyou
Ohio DPS,http://gov-tollrk.cyou
Ohio DPS,http://gov-tollrx.cyou
Ohio DPS,http://gov-tollrz.cyou
Ohio DPS,http://gov-tollte.cyou
Ohio DPS,http://gov-tollti.cyou
Ohio DPS,http://gov-tolltr.cyou
Ohio DPS,http://gov-tolltx.cyou
Ohio DPS,http://gov-tollyk.cyou
Ohio DPS,http://gov-ckte.life
Ohio DPS,http://gov-dvsk.life
Ohio DPS,http://gov-kjd.date
Ohio DPS,http://gov-kje.date
Ohio DPS,http://gov-kjq.date
Ohio DPS,http://gov-kjr.date
Ohio DPS,http://gov-kjt.date
Ohio DPS,http://gov-pon.date
Ohio DPS,http://gov-kjw.date
Ohio DPS,http://gov-pob.date
Ohio DPS,http://gov-poe.date
Ohio DPS,http://gov-por.date
Ohio DPS,http://gov-poc.date
Ohio DPS,http://gov-pot.date
Ohio DPS,http://gov-pou.date
Ohio DPS,http://gov-pov.date
Ohio DPS,http://gov-pow.date
Ohio DPS,http://gov-poz.date
Ohio DPS,http://gov-pvyc.life
Ohio DPS,http://gov-ssfy.life
Ohio DPS,http://gov-umnr.life
Ohio DPS,http://gov-yunbb.icu
Ohio DPS,http://gov-yuncc.icu
Ohio DPS,http://gov-yunaa.icu
Ohio DPS,http://gov-yundd.icu
Ohio DPS,http://gov-yunee.icu
Ohio DPS,http://gov-yunnn.icu
Ohio DPS,http://gov-yunss.icu
Ohio DPS,http://gov-yunvv.icu
Ohio DPS,http://gov-yunxx.icu
Oregon DMV,http://gov-jahn.life
Oregon DMV,http://gov-jckc.life
Oregon DMV,http://gov-jgdv.life
Oregon DMV,http://gov-jtjp.life
Oregon DMV,http://gov-ntje.life
Oregon DMV,http://gov-nvny.life
Ohio DPS,http://gov-yunzz.icu
Oregon DMV,http://gov-odose.icu
Oregon DMV,http://gov-odosi.icu
Oregon DMV,http://gov-odosp.icu
Oregon DMV,http://gov-odoso.icu
Oregon DMV,http://gov-odosq.icu
Oregon DMV,http://gov-odosr.icu
Oregon DMV,http://gov-odost.icu
Oregon DMV,http://gov-odosu.icu
Oregon DMV,http://gov-odosw.icu
